folder,bug_ids,lib,generated_harness,generated_loc,generated_distinct_api_calls,official_harness,official_loc,official_distinct_api_calls
LUA001,LUA001,lua,findvararg.c,266,5,lua.c,555,52
LUA002,LUA002,lua,changedline.c,132,9,lua.c,555,52
LUA003,LUA003,lua,io_popen.c,157,14,lua.c,555,52
LUA004,LUA004,lua,luaG_traceexec.c,210,9,lua.c,555,52
PNG002_PNG003_PNG005,"PNG002,PNG003,PNG005",libpng,png_check_chunk_length.c,231,16,libpng_read_fuzzer.cc,172,25
PNG006,PNG006,libpng,png_free_data.c,140,15,libpng_read_fuzzer.cc,172,25
PNG007,PNG007,libpng,png_read_transform_info.c,141,12,libpng_read_fuzzer.cc,172,25
SND005,SND005,libsndfile,aiff_read_chanmap.c,189,2,sndfile_fuzzer.cc,126,3
SND015,SND015,libsndfile,i2alaw_array.c,240,4,sndfile_fuzzer.cc,126,3
SND017,SND017,libsndfile,wavlike_read_fmt_chunk.c,251,2,sndfile_fuzzer.cc,126,3
SND022,SND022,libsndfile,d2ulaw_array.c,253,4,sndfile_fuzzer.cc,126,3
SQL002_SQL003,"SQL002,SQL003",sqlite3,"flattenSubquery.c,selectExpander.c",159,9,ossfuzz.c,178,15
SQL014_SQL018,"SQL014,SQL018",sqlite3,"multiSelect.c,sqlite3ExprAddCollateToken.c",213,9,ossfuzz.c,178,15
TIF001_TIF007_TIF0012_TIF017,"TIF001,TIF007,TIF0012,TIF017",libtiff,PredictorEncodeTile.c,196,11,tiff_read_rgba_fuzzer.cc,92,7
TIF002,TIF002,libtiff,PixarLogDecode.c,152,11,tiff_read_rgba_fuzzer.cc,92,7
TIF003,TIF003,libtiff,TIFFReadEncodedStripGetStripSize.c,162,8,tiff_read_rgba_fuzzer.cc,92,7
TIF005,TIF005,libtiff,TIFFReadEncodedStripGetStripSize.c,256,7,tiff_read_rgba_fuzzer.cc,92,7
TIF006,TIF006,libtiff,"PixarLogDecode.c,TIFFReadEncodedStripGetStripSize.c",251,7,tiff_read_rgba_fuzzer.cc,92,7
TIF009,TIF009,libtiff,TIFFWriteDirectoryTagTransferfunction.c,328,9,tiff_read_rgba_fuzzer.cc,92,7
TIF011,TIF011,libtiff,TIFFPrintDirectory.c,266,8,tiff_read_rgba_fuzzer.cc,92,7
XML001_XML017,"XML001,XML017",libxml2,xmlSnprintfElementContent__internal_alias.c,365,13,"libxml2_xml_read_memory_fuzzer.cc,libxml2_xml_reader_for_file_fuzzer.cc",79,13
XML002_xml009,"XML002,XML009",libxml2,xmlValidateOneNamespace__internal_alias.c,205,12,"libxml2_xml_read_memory_fuzzer.cc,libxml2_xml_reader_for_file_fuzzer.cc",79,13
XML003,XML003,libxml2,xmlParsePEReference__internal_alias.c,171,16,"libxml2_xml_read_memory_fuzzer.cc,libxml2_xml_reader_for_file_fuzzer.cc",79,13
XML004,XML004,libxml2,xz_decomp.c,117,8,"libxml2_xml_read_memory_fuzzer.cc,libxml2_xml_reader_for_file_fuzzer.cc",79,13
XML005,XML005,libxml2,xmlMallocLoc__internal_alias.c,275,13,"libxml2_xml_read_memory_fuzzer.cc,libxml2_xml_reader_for_file_fuzzer.cc",79,13
XML006,XML006,libxml2,xmlSnprintfElementContent__internal_alias.c,171,14,"libxml2_xml_read_memory_fuzzer.cc,libxml2_xml_reader_for_file_fuzzer.cc",79,13
XML007_XML014_XML015,"XML007,XML014,XML015",libxml2,htmlParseChunk__internal_alias.c,184,7,"libxml2_xml_read_memory_fuzzer.cc,libxml2_xml_reader_for_file_fuzzer.cc",79,13
XML008,XML008,libxml2,xmlParseComment__internal_alias.c,203,12,"libxml2_xml_read_memory_fuzzer.cc,libxml2_xml_reader_for_file_fuzzer.cc",79,13
XML012,XML012,libxml2,xmlParseNCName.c,181,4,"libxml2_xml_read_memory_fuzzer.cc,libxml2_xml_reader_for_file_fuzzer.cc",79,13
XML016,XML016,libxml2,xmlFAParsePosCharGroup.c,221,16,"libxml2_xml_read_memory_fuzzer.cc,libxml2_xml_reader_for_file_fuzzer.cc",79,13
